fixture_id,fotmob_match_id,date,home_team,away_team,status,home_score,away_score,competition,round,stadium,attendance,referee
537327,4667751,2026-06-11T19:00:00Z,Mexico,South Africa,"{'utcTime': '2026-06-11T19:00:00.000Z', 'numberOfHomeRedCards': 1, 'numberOfAwayRedCards': 2, 'halfs': {'firstHalfStarted': '11.06.2026 21:05:57', 'secondHalfStarted': '11.06.2026 22:11:32'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '2 - 0', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",2.0,0.0,FIFA World Cup,GROUP_STAGE,,,
537328,4667752,2026-06-12T02:00:00Z,South Korea,Czechia,"{'utcTime': '2026-06-12T02:00:00.000Z', 'halfs': {'firstHalfStarted': '12.06.2026 04:00:49', 'secondHalfStarted': '12.06.2026 05:03:57'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '2 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",2.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537333,4667757,2026-06-12T19:00:00Z,Canada,Bosnia-Herzegovina,"{'utcTime': '2026-06-12T19:00:00.000Z', 'halfs': {'firstHalfStarted': '12.06.2026 21:02:21', 'secondHalfStarted': '12.06.2026 22:06:38'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '1 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",1.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537345,4667771,2026-06-13T01:00:00Z,United States,Paraguay,"{'utcTime': '2026-06-13T01:00:00.000Z', 'halfs': {'firstHalfStarted': '13.06.2026 03:02:17', 'secondHalfStarted': '13.06.2026 04:09:09'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '4 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",4.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537334,4667758,2026-06-13T19:00:00Z,Qatar,Switzerland,"{'utcTime': '2026-06-13T19:00:00.000Z', 'halfs': {'firstHalfStarted': '13.06.2026 21:04:51', 'secondHalfStarted': '13.06.2026 22:12:13'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '1 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",1.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537339,4667764,2026-06-13T22:00:00Z,Brazil,Morocco,"{'utcTime': '2026-06-13T22:00:00.000Z', 'halfs': {'firstHalfStarted': '14.06.2026 00:04:25', 'secondHalfStarted': '14.06.2026 01:10:12'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '1 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",1.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537340,4667765,2026-06-14T01:00:00Z,Haiti,Scotland,"{'utcTime': '2026-06-14T01:00:00.000Z', 'halfs': {'firstHalfStarted': '14.06.2026 03:02:40', 'secondHalfStarted': '14.06.2026 04:09:16'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '0 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",0.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537346,4667772,2026-06-14T04:00:00Z,Australia,Turkey,"{'utcTime': '2026-06-14T04:00:00.000Z', 'halfs': {'firstHalfStarted': '14.06.2026 06:00:37', 'secondHalfStarted': '14.06.2026 07:05:26'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '2 - 0', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",2.0,0.0,FIFA World Cup,GROUP_STAGE,,,
537351,4667777,2026-06-14T17:00:00Z,Germany,Curaçao,"{'utcTime': '2026-06-14T17:00:00.000Z', 'halfs': {'firstHalfStarted': '14.06.2026 19:01:52', 'secondHalfStarted': '14.06.2026 20:08:35'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '7 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",7.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537357,4667783,2026-06-14T20:00:00Z,Netherlands,Japan,"{'utcTime': '2026-06-14T20:00:00.000Z', 'halfs': {'firstHalfStarted': '14.06.2026 22:00:14', 'secondHalfStarted': '14.06.2026 23:04:13'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '2 - 2', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",2.0,2.0,FIFA World Cup,GROUP_STAGE,,,
537352,4667778,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,"{'utcTime': '2026-06-14T23:00:00.000Z', 'halfs': {'firstHalfStarted': '15.06.2026 01:03:32', 'secondHalfStarted': '15.06.2026 02:10:35'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '1 - 0', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",1.0,0.0,FIFA World Cup,GROUP_STAGE,,,
537358,4667784,2026-06-15T02:00:00Z,Sweden,Tunisia,"{'utcTime': '2026-06-15T02:00:00.000Z', 'halfs': {'firstHalfStarted': '15.06.2026 04:00:43', 'secondHalfStarted': '15.06.2026 05:05:46'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '5 - 1', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",5.0,1.0,FIFA World Cup,GROUP_STAGE,,,
537369,4667798,2026-06-15T16:00:00Z,Spain,Cape Verde Islands,"{'utcTime': '2026-06-15T16:00:00.000Z', 'halfs': {'firstHalfStarted': '15.06.2026 18:01:09', 'secondHalfStarted': '15.06.2026 19:06:10'}, 'periodLength': 45, 'finished': True, 'started': True, 'cancelled': False, 'awarded': False, 'scoreStr': '0 - 0', 'reason': {'short': 'FT', 'shortKey': 'fulltime_short', 'long': 'Full-Time', 'longKey': 'finished'}}",0.0,0.0,FIFA World Cup,GROUP_STAGE,,,
