fixture_id,fotmob_match_id,team_name,opponent_name,goals_for,goals_against,shots,shots_on_target,expected_goals,possession,passes,pass_accuracy,corners,fouls,yellow_cards,red_cards,big_chances,big_chances_missed,saves,tackles,interceptions,clearances
537327,4667751,Mexico,South Africa,2.0,0.0,,4.0,,,520.0,,3.0,,1.0,1.0,2.0,0.0,,12.0,8.0,15.0
537327,4667751,South Africa,Mexico,0.0,2.0,,2.0,,,334.0,,1.0,,2.0,2.0,0.0,0.0,,14.0,7.0,17.0
537328,4667752,South Korea,Czechia,2.0,1.0,,6.0,,,541.0,,4.0,,1.0,0.0,4.0,2.0,,7.0,9.0,32.0
537328,4667752,Czechia,South Korea,1.0,2.0,,4.0,,,327.0,,5.0,,0.0,0.0,1.0,0.0,,9.0,6.0,21.0
537333,4667757,Canada,Bosnia-Herzegovina,1.0,1.0,,4.0,,,421.0,,9.0,,2.0,0.0,2.0,2.0,,23.0,4.0,21.0
537333,4667757,Bosnia-Herzegovina,Canada,1.0,1.0,,3.0,,,271.0,,4.0,,3.0,0.0,2.0,1.0,,20.0,11.0,70.0
537345,4667771,United States,Paraguay,4.0,1.0,,6.0,,,598.0,,3.0,,1.0,0.0,4.0,2.0,,9.0,9.0,15.0
537345,4667771,Paraguay,United States,1.0,4.0,,1.0,,,319.0,,1.0,,5.0,0.0,1.0,0.0,,21.0,10.0,33.0
537334,4667758,Qatar,Switzerland,1.0,1.0,,3.0,,,278.0,,3.0,,2.0,0.0,1.0,1.0,,14.0,11.0,31.0
537334,4667758,Switzerland,Qatar,1.0,1.0,,7.0,,,576.0,,10.0,,1.0,0.0,6.0,5.0,,8.0,7.0,13.0
537339,4667764,Brazil,Morocco,1.0,1.0,,5.0,,,514.0,,6.0,,2.0,0.0,1.0,1.0,,23.0,5.0,23.0
537339,4667764,Morocco,Brazil,1.0,1.0,,3.0,,,486.0,,2.0,,0.0,0.0,2.0,1.0,,26.0,5.0,17.0
537340,4667765,Haiti,Scotland,0.0,1.0,,2.0,,,431.0,,4.0,,1.0,0.0,1.0,1.0,,12.0,6.0,20.0
537340,4667765,Scotland,Haiti,1.0,0.0,,2.0,,,374.0,,3.0,,3.0,0.0,2.0,2.0,,12.0,6.0,17.0
537346,4667772,Australia,Turkey,2.0,0.0,,4.0,,,271.0,,5.0,,0.0,0.0,1.0,0.0,,15.0,7.0,55.0
537346,4667772,Turkey,Australia,0.0,2.0,,8.0,,,704.0,,8.0,,1.0,0.0,2.0,2.0,,12.0,4.0,29.0
537351,4667777,Germany,Curaçao,7.0,1.0,,12.0,,,637.0,,8.0,,0.0,0.0,6.0,2.0,,19.0,12.0,8.0
537351,4667777,Curaçao,Germany,1.0,7.0,,2.0,,,343.0,,1.0,,0.0,0.0,0.0,0.0,,16.0,16.0,25.0
537357,4667783,Netherlands,Japan,2.0,2.0,,6.0,,,524.0,,5.0,,3.0,0.0,0.0,0.0,,11.0,7.0,23.0
537357,4667783,Japan,Netherlands,2.0,2.0,,3.0,,,341.0,,4.0,,0.0,0.0,0.0,0.0,,11.0,4.0,32.0
537352,4667778,Ivory Coast,Ecuador,1.0,0.0,,4.0,,,470.0,,3.0,,3.0,0.0,2.0,2.0,,14.0,11.0,29.0
537352,4667778,Ecuador,Ivory Coast,0.0,1.0,,1.0,,,492.0,,5.0,,1.0,0.0,1.0,1.0,,21.0,13.0,18.0
537358,4667784,Sweden,Tunisia,5.0,1.0,,7.0,,,356.0,,4.0,,0.0,0.0,4.0,2.0,,14.0,6.0,23.0
537358,4667784,Tunisia,Sweden,1.0,5.0,,2.0,,,371.0,,2.0,,1.0,0.0,0.0,0.0,,21.0,6.0,13.0
537369,4667798,Spain,Cape Verde Islands,0.0,0.0,,7.0,,,800.0,,11.0,,1.0,0.0,2.0,2.0,,13.0,6.0,7.0
537369,4667798,Cape Verde Islands,Spain,0.0,0.0,,1.0,,,278.0,,1.0,,1.0,0.0,1.0,1.0,,18.0,15.0,46.0
537363,4667790,Belgium,Egypt,1.0,1.0,,3.0,,,455.0,,2.0,,2.0,0.0,2.0,2.0,,17.0,10.0,25.0
537363,4667790,Egypt,Belgium,1.0,1.0,,3.0,,,398.0,,7.0,,2.0,0.0,2.0,2.0,,28.0,16.0,17.0
537370,4667799,Saudi Arabia,Uruguay,1.0,1.0,,3.0,,,322.0,,4.0,,1.0,0.0,1.0,0.0,,11.0,9.0,43.0
537370,4667799,Uruguay,Saudi Arabia,1.0,1.0,,10.0,,,612.0,,14.0,,0.0,0.0,2.0,1.0,,3.0,10.0,17.0
537364,4667791,Iran,New Zealand,2.0,2.0,,4.0,,,409.0,,4.0,,1.0,0.0,2.0,0.0,,17.0,11.0,27.0
537364,4667791,New Zealand,Iran,2.0,2.0,,8.0,,,446.0,,1.0,,0.0,0.0,2.0,0.0,,13.0,15.0,26.0
537391,4667804,France,Senegal,3.0,1.0,,8.0,,,575.0,,6.0,,0.0,0.0,4.0,2.0,,19.0,7.0,14.0
537391,4667804,Senegal,France,1.0,3.0,,2.0,,,502.0,,4.0,,0.0,0.0,2.0,2.0,,14.0,8.0,17.0
537392,4667805,Iraq,Norway,1.0,4.0,,1.0,,,334.0,,2.0,,1.0,0.0,1.0,1.0,,19.0,5.0,20.0
537392,4667805,Norway,Iraq,4.0,1.0,,5.0,,,537.0,,5.0,,0.0,0.0,5.0,2.0,,15.0,2.0,22.0
537397,4667812,Argentina,Algeria,3.0,0.0,,6.0,,,561.0,,2.0,,0.0,0.0,1.0,0.0,,27.0,10.0,17.0
537397,4667812,Algeria,Argentina,0.0,3.0,,0.0,,,609.0,,2.0,,0.0,0.0,0.0,0.0,,17.0,8.0,12.0
537398,4667813,Austria,Jordan,3.0,1.0,,4.0,,,580.0,,4.0,,1.0,0.0,4.0,3.0,,17.0,15.0,24.0
537398,4667813,Jordan,Austria,1.0,3.0,,4.0,,,332.0,,3.0,,0.0,0.0,0.0,0.0,,15.0,12.0,39.0
537403,4667819,Portugal,Congo DR,1.0,1.0,,1.0,,,783.0,,5.0,,3.0,0.0,0.0,0.0,,12.0,3.0,10.0
537403,4667819,Congo DR,Portugal,1.0,1.0,,2.0,,,249.0,,4.0,,1.0,0.0,1.0,0.0,,17.0,5.0,27.0
537409,4667825,England,Croatia,4.0,2.0,,11.0,,,474.0,,8.0,,0.0,0.0,7.0,5.0,,9.0,7.0,16.0
537409,4667825,Croatia,England,2.0,4.0,,5.0,,,443.0,,2.0,,0.0,0.0,2.0,1.0,,11.0,9.0,17.0
537410,4667826,Ghana,Panama,1.0,0.0,,2.0,,,352.0,,2.0,,1.0,0.0,1.0,0.0,,16.0,8.0,28.0
537410,4667826,Panama,Ghana,0.0,1.0,,4.0,,,583.0,,2.0,,2.0,0.0,2.0,2.0,,29.0,5.0,17.0
537404,4667820,Uzbekistan,Colombia,1.0,3.0,,2.0,,,319.0,,3.0,,1.0,0.0,1.0,0.0,,10.0,7.0,24.0
537404,4667820,Colombia,Uzbekistan,3.0,1.0,,4.0,,,519.0,,4.0,,1.0,0.0,4.0,1.0,,10.0,6.0,20.0
537329,4667753,Czechia,South Africa,1.0,1.0,,3.0,,,341.0,,5.0,,1.0,0.0,3.0,2.0,,12.0,9.0,22.0
537329,4667753,South Africa,Czechia,1.0,1.0,,4.0,,,563.0,,5.0,,2.0,0.0,1.0,0.0,,20.0,9.0,24.0
537335,4667759,Switzerland,Bosnia-Herzegovina,4.0,1.0,,7.0,,,586.0,,7.0,,1.0,0.0,4.0,1.0,,19.0,5.0,17.0
537335,4667759,Bosnia-Herzegovina,Switzerland,1.0,4.0,,3.0,,,354.0,,3.0,,2.0,1.0,0.0,0.0,,13.0,11.0,36.0
537336,4667760,Canada,Qatar,6.0,0.0,,10.0,,,567.0,,19.0,,1.0,0.0,6.0,3.0,,9.0,6.0,3.0
537336,4667760,Qatar,Canada,0.0,6.0,,0.0,,,162.0,,1.0,,1.0,2.0,0.0,0.0,,16.0,10.0,61.0
537330,4667754,Mexico,South Korea,1.0,0.0,,4.0,,,427.0,,0.0,,0.0,0.0,2.0,1.0,,14.0,6.0,20.0
537330,4667754,South Korea,Mexico,0.0,1.0,,2.0,,,578.0,,2.0,,2.0,0.0,3.0,3.0,,17.0,5.0,12.0
537348,4667774,United States,Australia,2.0,0.0,,2.0,,,523.0,,7.0,,3.0,0.0,2.0,1.0,,20.0,20.0,31.0
537348,4667774,Australia,United States,0.0,2.0,,2.0,,,310.0,,4.0,,4.0,0.0,0.0,0.0,,13.0,6.0,24.0
537342,4667766,Scotland,Morocco,0.0,1.0,,0.0,,,456.0,,2.0,,1.0,0.0,1.0,1.0,,20.0,9.0,17.0
537342,4667766,Morocco,Scotland,1.0,0.0,,2.0,,,670.0,,5.0,,1.0,0.0,3.0,2.0,,10.0,5.0,14.0
537341,4667767,Brazil,Haiti,3.0,0.0,,5.0,,,525.0,,4.0,,1.0,0.0,5.0,2.0,,21.0,10.0,14.0
537341,4667767,Haiti,Brazil,0.0,3.0,,3.0,,,399.0,,4.0,,3.0,0.0,0.0,0.0,,16.0,9.0,22.0
537347,4667773,Turkey,Paraguay,0.0,1.0,,5.0,,,629.0,,12.0,,1.0,0.0,5.0,5.0,,17.0,6.0,29.0
537347,4667773,Paraguay,Turkey,1.0,0.0,,2.0,,,178.0,,0.0,,1.0,1.0,0.0,0.0,,25.0,9.0,48.0
537359,4667786,Netherlands,Sweden,5.0,1.0,,7.0,,,449.0,,2.0,,0.0,0.0,3.0,0.0,,15.0,8.0,24.0
537359,4667786,Sweden,Netherlands,1.0,5.0,,8.0,,,425.0,,5.0,,3.0,0.0,2.0,1.0,,18.0,5.0,14.0
537353,4667780,Germany,Ivory Coast,2.0,1.0,,7.0,,,624.0,,8.0,,0.0,0.0,5.0,3.0,,26.0,8.0,14.0
537353,4667780,Ivory Coast,Germany,1.0,2.0,,2.0,,,431.0,,3.0,,0.0,0.0,2.0,1.0,,20.0,13.0,26.0
537354,4667779,Ecuador,Curaçao,0.0,0.0,,15.0,,,644.0,,9.0,,1.0,0.0,6.0,6.0,,19.0,7.0,17.0
537354,4667779,Curaçao,Ecuador,0.0,0.0,,3.0,,,227.0,,0.0,,5.0,0.0,0.0,0.0,,17.0,8.0,32.0
537360,4667785,Tunisia,Japan,0.0,4.0,,0.0,,,354.0,,3.0,,0.0,0.0,0.0,0.0,,18.0,14.0,23.0
537360,4667785,Japan,Tunisia,4.0,0.0,,5.0,,,583.0,,5.0,,0.0,0.0,4.0,2.0,,18.0,7.0,25.0
537371,4667801,Spain,Saudi Arabia,4.0,0.0,,8.0,,,726.0,,6.0,,0.0,0.0,5.0,2.0,,10.0,13.0,17.0
537371,4667801,Saudi Arabia,Spain,0.0,4.0,,1.0,,,364.0,,1.0,,2.0,0.0,0.0,0.0,,15.0,13.0,35.0
537365,4667793,Belgium,Iran,0.0,0.0,,7.0,,,621.0,,4.0,,1.0,1.0,1.0,1.0,,12.0,3.0,11.0
537365,4667793,Iran,Belgium,0.0,0.0,,3.0,,,270.0,,2.0,,1.0,0.0,1.0,1.0,,19.0,12.0,51.0
537372,4667800,Uruguay,Cape Verde Islands,2.0,2.0,,2.0,,,511.0,,11.0,,2.0,0.0,2.0,0.0,,16.0,7.0,11.0
537372,4667800,Cape Verde Islands,Uruguay,2.0,2.0,,4.0,,,278.0,,4.0,,2.0,0.0,1.0,0.0,,16.0,13.0,48.0
537366,4667792,New Zealand,Egypt,1.0,3.0,,5.0,,,421.0,,4.0,,2.0,0.0,3.0,2.0,,12.0,4.0,22.0
537366,4667792,Egypt,New Zealand,3.0,1.0,,7.0,,,526.0,,3.0,,1.0,0.0,3.0,2.0,,16.0,6.0,37.0
537399,4667815,Argentina,Austria,2.0,0.0,,5.0,,,554.0,,1.0,,2.0,0.0,3.0,3.0,,21.0,8.0,35.0
537399,4667815,Austria,Argentina,0.0,2.0,,1.0,,,468.0,,3.0,,2.0,0.0,1.0,1.0,,12.0,9.0,15.0
537393,4667807,France,Iraq,3.0,0.0,,5.0,,,603.0,,4.0,,0.0,0.0,5.0,3.0,,14.0,5.0,9.0
537393,4667807,Iraq,France,0.0,3.0,,0.0,,,481.0,,2.0,,1.0,0.0,1.0,1.0,,16.0,10.0,28.0
537394,4667806,Norway,Senegal,3.0,2.0,,7.0,,,353.0,,5.0,,0.0,0.0,5.0,3.0,,10.0,8.0,26.0
537394,4667806,Senegal,Norway,2.0,3.0,,4.0,,,489.0,,4.0,,0.0,0.0,3.0,1.0,,16.0,10.0,18.0
537400,4667814,Jordan,Algeria,1.0,2.0,,4.0,,,251.0,,1.0,,1.0,0.0,1.0,1.0,,30.0,3.0,36.0
537400,4667814,Algeria,Jordan,2.0,1.0,,8.0,,,641.0,,10.0,,1.0,0.0,3.0,2.0,,25.0,11.0,15.0
537405,4667822,Portugal,Uzbekistan,5.0,0.0,,9.0,,,624.0,,3.0,,1.0,0.0,7.0,5.0,,14.0,6.0,16.0
537405,4667822,Uzbekistan,Portugal,0.0,5.0,,2.0,,,327.0,,2.0,,1.0,0.0,0.0,0.0,,18.0,14.0,30.0
537411,4667828,England,Ghana,0.0,0.0,,3.0,,,633.0,,9.0,,1.0,0.0,2.0,2.0,,14.0,1.0,6.0
537411,4667828,Ghana,England,0.0,0.0,,1.0,,,172.0,,2.0,,1.0,0.0,1.0,1.0,,22.0,8.0,39.0
537412,4667827,Panama,Croatia,0.0,1.0,,1.0,,,352.0,,7.0,,1.0,0.0,1.0,1.0,,10.0,5.0,29.0
537412,4667827,Croatia,Panama,1.0,0.0,,2.0,,,512.0,,2.0,,1.0,0.0,3.0,2.0,,19.0,5.0,38.0
537406,4667821,Colombia,Congo DR,1.0,0.0,,9.0,,,541.0,,5.0,,2.0,0.0,2.0,2.0,,10.0,10.0,18.0
537406,4667821,Congo DR,Colombia,0.0,1.0,,1.0,,,299.0,,4.0,,1.0,0.0,0.0,0.0,,15.0,7.0,19.0
