model,type,validation_accuracy,validation_log_loss,validation_draw_recall,test_accuracy,test_log_loss,test_draw_recall
xgboost_slow_learning,tuned_baseline,0.5745886161316428,0.9048834443092346,0.0017311021350259665,0.6018343674130024,0.8667595386505127,0.0011771630370806356
xgboost_baseline,baseline,0.5749932560021581,0.9050520062446594,0.0017311021350259665,0.602643647154033,0.8669805526733398,0.0005885815185403178
xgboost_regularized,tuned_baseline,0.5728351766927434,0.9059259295463562,0.0,0.6019692473698408,0.8679168224334717,0.0
logistic_regression_baseline,baseline,0.574318856217966,0.9080030624753869,0.0,0.603318046938225,0.8693284604281984,0.0
xgboost_balanced_calibrated,calibrated_sigmoid_on_calibration_split,0.575263015915835,0.9090086671508041,0.025389497980380843,0.602643647154033,0.87359506746608,0.015891701000588582
xgboost_baseline_calibrated,calibrated_sigmoid_on_calibration_split,0.5733746965200971,0.9098091677231807,0.03577611079053664,0.6010250876719719,0.8740911738313601,0.023543260741612712
xgboost_slow_learning_calibrated,calibrated_sigmoid_on_calibration_split,0.5748583760453196,0.9099396912430575,0.03693017888055395,0.6004855678446183,0.8737962120075227,0.023543260741612712
xgboost_regularized_balanced_calibrated,calibrated_sigmoid_on_calibration_split,0.5741839762611276,0.9099452995280325,0.021350259665320254,0.6021041273266793,0.8735834484777639,0.015891701000588582
xgboost_regularized_calibrated,calibrated_sigmoid_on_calibration_split,0.5758025357431885,0.9106258913616045,0.03289094056549336,0.6012948475856488,0.8744517062262595,0.020600353148911125
random_forest_baseline,baseline,0.5722956568653899,0.9160129963589858,0.0051933064050779,0.5975182087941732,0.8836727655380088,0.006474396703943496
logistic_regression_baseline_calibrated,calibrated_sigmoid_on_calibration_split,0.575937415700027,0.9165947389213699,0.0,0.6038575667655787,0.8794203366622813,0.0
logistic_regression_balanced_calibrated,calibrated_sigmoid_on_calibration_split,0.5755327758295118,0.9169136405631615,0.0,0.6031831669813865,0.8798376705817893,0.0
random_forest_balanced_calibrated,calibrated_sigmoid_on_calibration_split,0.5687887779875911,0.9186119350023598,0.03231390652048471,0.603992446722417,0.8842783584515784,0.025897586815773983
random_forest_baseline_calibrated,calibrated_sigmoid_on_calibration_split,0.5687887779875911,0.919629253927548,0.027697634160415464,0.6008902077151336,0.8864651999103095,0.024720423778693348
random_forest_balanced,balanced,0.5507148637712436,0.9379407390311774,0.2348528563185228,0.5833558133261397,0.8994069482835996,0.20011771630370806
logistic_regression_balanced,balanced,0.5496358241165363,0.9397502983465484,0.2550490478938257,0.581467493930402,0.8910381307090611,0.2007062978222484
xgboost_balanced,balanced,0.536822228216887,0.9410012364387512,0.36295441431044434,0.5674399784192069,0.8941994309425354,0.30311948204826367
xgboost_regularized_balanced,tuned_balanced,0.5389803075263015,0.9432334303855896,0.3502596653202539,0.5685190180739143,0.8960537910461426,0.2872277810476751
